"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"NIPSNAP3B"	1.52436716905413	0.00529350701501649	0.27006000917998	"Abexinostat"
"ATAD2B"	0.43211149133134	0.00530082289891797	0.27006000917998	"Abexinostat"
"LTF"	0.648981597696126	0.00536968956065595	0.270789968369089	"Abexinostat"
"KRCC1"	0.531882496415192	0.00546044586113141	0.270985235533247	"Abexinostat"
"SFXN2"	0.853827951778904	0.00554620657744562	0.272257334019759	"Abexinostat"
"MAGI1"	1.91487611511731	0.00557759734153303	0.272257334019759	"Abexinostat"
"RAB38"	0.694711993543903	0.00561085404085038	0.272257334019759	"Abexinostat"
"MACROH2A1"	0.577863616437605	0.00569791653557122	0.272257334019759	"Abexinostat"
"LYZ"	0.846036311478261	0.00572441200235817	0.272257334019759	"Abexinostat"
"SH2D2A"	0.570639833069898	0.00595595118068743	0.275106503057024	"Abexinostat"
"PNKP"	0.337607248007791	0.00604181340311971	0.275106503057024	"Abexinostat"
"SYT1"	0.716123612068964	0.00608912096264787	0.275106503057024	"Abexinostat"
"TEP1"	0.698478338190312	0.00621632834696367	0.275106503057024	"Abexinostat"
"SEPTIN1"	0.54693486319601	0.00633842505585979	0.275106503057024	"Abexinostat"
"SPN"	0.456018342237552	0.00634772783207374	0.275106503057024	"Abexinostat"
"EPHB3"	1.58454310156118	0.00656418114300767	0.281935995460661	"Abexinostat"
"PGGHG"	0.451650934560655	0.0067217998764135	0.284873447859684	"Abexinostat"
"PFKFB4"	0.453583200567025	0.00718353369112492	0.288549674455427	"Abexinostat"
"CDKN2D"	0.633889960108783	0.00719947910930673	0.288549674455427	"Abexinostat"
"GBE1"	0.736481773230551	0.00738588979468308	0.293535487358816	"Abexinostat"
"PTMA"	0.346778367237041	0.0079408096353981	0.303016233816107	"Abexinostat"
"GRIP1"	1.37893279162513	0.00802518005552389	0.303233324748582	"Abexinostat"
"IL17RA"	0.46116639000884	0.00810328781867852	0.303233324748582	"Abexinostat"
"DRAP1"	0.297866682653105	0.00822866487221365	0.303233324748582	"Abexinostat"
"TBC1D8B"	1.07904249498891	0.00828977015896951	0.303233324748582	"Abexinostat"
"PAXX"	0.771015094721591	0.00833860426446139	0.303233324748582	"Abexinostat"
"KCNMA1"	1.48921728573171	0.00844736822220021	0.303233324748582	"Abexinostat"
"CALHM2"	0.595768062510198	0.00847080929539351	0.303233324748582	"Abexinostat"
"CD58"	1.93350650070264	0.0084924845377489	0.303233324748582	"Abexinostat"
"ZSCAN2"	0.774937147359031	0.0085891464365698	0.303233324748582	"Abexinostat"
"NAIF1"	0.41821654493749	0.00868436168101657	0.303233324748582	"Abexinostat"
"TTF1"	0.537217029301214	0.00871621624319785	0.303233324748582	"Abexinostat"
"NSL1"	0.265193017801097	0.00873798263004894	0.303233324748582	"Abexinostat"
"DGKD"	0.933812615845068	0.00885483964174438	0.303895834086013	"Abexinostat"
"PBX2"	0.374409665651	0.00888671980994111	0.303895834086013	"Abexinostat"
"ZNF423"	1.02714185802342	0.00891571615975879	0.303895834086013	"Abexinostat"
"MYL6B"	0.426568359736795	0.00896488073459057	0.304488041403931	"Abexinostat"
"TCEAL4"	1.15890456536569	0.0091768911182419	0.307275268078092	"Abexinostat"
"NKD2"	1.15309129208417	0.00918865961391185	0.307275268078092	"Abexinostat"
"DSN1"	0.311791394872448	0.00922404394652028	0.307275268078092	"Abexinostat"
"MPND"	0.420744649993557	0.0092463464863496	0.307275268078092	"Abexinostat"
"RAI1"	0.398235687273331	0.00930359446049767	0.307275268078092	"Abexinostat"
"NAB2"	0.497746305318496	0.00948505002968053	0.310168589529918	"Abexinostat"
"CCSAP"	0.369387173762886	0.00948834795701252	0.310168589529918	"Abexinostat"
"FGGY"	0.893440902987398	0.00954637616247272	0.310814193102855	"Abexinostat"
"SHANK1"	1.17876386010202	0.00966714315726975	0.310814193102855	"Abexinostat"
"PHLDB3"	0.38857704552923	0.00966817502034131	0.310814193102855	"Abexinostat"
"ADK"	0.396004449071803	0.00967147710712616	0.310814193102855	"Abexinostat"
"ZNF316"	0.23779353864206	0.00971309719940575	0.310814193102855	"Abexinostat"
"SLC7A3"	1.23486365945998	0.00976604231297863	0.310814193102855	"Abexinostat"
"ZNF114"	1.13873636830982	0.00984084508307614	0.312104682800342	"Abexinostat"
"ZER1"	0.279341170549105	0.00989341596522271	0.312736429422122	"Abexinostat"
"FKBPL"	0.321761599359611	0.00995219293201593	0.313311515658554	"Abexinostat"
"MAPKAP1"	0.480488324747913	7.69127579796494e-09	7.98431340586741e-05	"Aldoxorubicin"
"RICTOR"	0.370989398306135	8.83081955200644e-08	0.000458363688846894	"Aldoxorubicin"
"SLC25A28"	0.386454420061311	1.57989883852722e-05	0.0273348830712517	"Aldoxorubicin"
"CBY2"	0.469340915435032	2.04423280642099e-05	0.0303159725192232	"Aldoxorubicin"
"ZNF672"	0.536801806986872	5.71536451277542e-05	0.0741639987589021	"Aldoxorubicin"
"HSPB11"	0.212154374123244	7.5556972819074e-05	0.0871507705372008	"Aldoxorubicin"
"FSD1L"	0.878139777858657	0.000118600584426797	0.122069615833999	"Aldoxorubicin"
"IFT140"	0.393211707805093	0.000129348403253442	0.122069615833999	"Aldoxorubicin"
"FAT1"	1.31677911897167	0.000243667992444503	0.124133921183073	"Aldoxorubicin"
"NRF1"	0.188463645150514	0.000254636686577262	0.124133921183073	"Aldoxorubicin"
"AKNA"	0.531778136165692	0.000281176599040527	0.124133921183073	"Aldoxorubicin"
"MPP7"	1.5141050512916	0.00031090279845486	0.124133921183073	"Aldoxorubicin"
"TRANK1"	0.658025968731327	0.000428590080289452	0.164784949017956	"Aldoxorubicin"
"DSN1"	0.198526835714625	0.00049965319827906	0.185246423261961	"Aldoxorubicin"
"ADD2"	0.93366201407597	0.000693906861160966	0.232369262119742	"Aldoxorubicin"
